run,mae_deg,rmse_deg,p95_deg,max_deg,u_sat_ratio,zeta_growth,zeta_dot_p95,notes
paper-pure,10.4764281847,15.3671670425,31.7087774936,34.7851562280,0.4501388889,0.7290088888,0.0117159111,Original zeta law only; crosses pi/2 and loses practical control authority
plus-tuned,1.2311233874,1.5133133908,2.5205596474,8.6928883147,0.0536111111,0.3394658906,0.0114642525,First successful paper-plus 300 s run
bestnow-fric-300,1.1556512450,1.4263843160,2.2823381284,9.0812856783,0.0144444444,0.1730272152,0.0111929757,Best friction-compensated baseline before final reduction
break-best-300,1.1333729680,1.3745843326,2.3101400176,8.2057734228,0.0080555556,0.1344756016,0.0101430674,Reduced saturation but P95 not best
break-c12-300,1.1211160627,1.3329355118,2.2020738833,6.7526957659,0.0152777778,0.2077949220,0.0104151156,Improved max error with moderate saturation
break-c12a-300,1.0535965087,1.2830060212,2.1447046205,6.5299840342,0.0122222222,0.1940096768,0.0093715407,Best final 300 s result used for manuscript baseline
tryD-robust-300,1.6930584065,2.5237172415,6.2066354200,12.9036942596,0.1148611111,0.1718378686,0.0127160555,Extra robust e_dot term worsened tracking
bestnow-fric-slewboost-300,9.5427513336,11.3823393645,19.7996194091,28.3332959575,0.7641666667,0.3379974005,0.0100740459,Slew boost destabilized/practically over-driven
stage1-best300,1.8070269008,3.0715763315,8.1975888012,15.4538216323,0.1230555556,0.1492163763,0.0105093022,Early stage result with larger spikes
tryC-slew16-300,1.6894468915,2.6579913194,6.4428361269,13.8636252228,0.0965277778,0.1592283695,0.0111899745,Slew-focused attempt did not solve spikes
