t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000001,2.4451653759,2.4451653759,0.0000000090,0.0000000000,0.0000000000,0.0000000090,0.0000000000,0.0000000090,0.0000002154,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,-0.0000000004,-0.0000000004,-0.0000000000,0.0000000001,0.0000000000,0.0644638019,-0.0000000923,-0.130,1.000000,10.2827248300,0,0.0000000000
0.041780,2.4451813272,2.4451653759,0.0003817732,0.0000000000,0.0000159513,0.0003817732,0.0000006646,0.0004191114,0.0100584586,0.0000000000,0.4963644172,0.8856929678,0.0000000203,-0.0000208476,-0.0000177839,-0.0000000000,0.0000032238,0.0000000000,0.0644638019,-0.0043780008,-0.125,1.000000,10.2827248300,0,0.0000000975
0.083446,2.4452290021,2.4451653759,0.0007623103,0.0000000000,0.0000636263,0.0007623103,0.0000033157,0.0009121123,0.0118320206,0.0000001489,0.4963644176,0.8856929719,0.0000000963,-0.0000459495,-0.0000355102,-0.0000000000,0.0000064371,0.0000000000,0.0644638019,-0.0096494040,-0.120,1.000000,10.2827248300,0,0.0000005504
0.125092,2.4453083384,2.4451653759,0.0011422719,0.0000000000,0.0001429625,0.0011422719,0.0000092725,0.0014812450,0.0136591856,0.0000008409,0.4963644197,0.8856929824,0.0000002539,-0.0000754294,-0.0000532097,-0.0000000000,0.0000096455,0.0000000000,0.0644638019,-0.0158401720,-0.114,1.000000,10.2827248300,0,0.0000017190
0.166760,2.4454193915,2.4451653759,0.0015218480,0.0000000000,0.0002540156,0.0015218480,0.0000198565,0.0021285535,0.0155354028,0.0000026265,0.4963644251,0.8856930043,0.0000005243,-0.0001094041,-0.0000708912,-0.0000000000,0.0000128507,0.0000000000,0.0644638019,-0.0229748553,-0.107,1.000000,10.2827248300,0,0.0000040802
0.208440,2.4455621343,2.4451653759,0.0019007477,0.0000000000,0.0003967584,0.0019007477,0.0000363881,0.0028554101,0.0174445606,0.0000062354,0.4963644364,0.8856930436,0.0000009435,-0.0001479572,-0.0000885413,-0.0000000000,0.0000160502,0.0000000000,0.0644638019,-0.0310710074,-0.099,1.000000,10.2827248300,0,0.0000082420
0.250122,2.4457365037,2.4451653759,0.0022786940,0.0000000000,0.0005711278,0.0022786940,0.0000601851,0.0036631159,0.0193849375,0.0000125974,0.4963644565,0.8856931083,0.0000015528,-0.0001911699,-0.0001061469,-0.0000000000,0.0000192417,0.0000000000,0.0644638019,-0.0401456704,-0.090,1.000000,10.2827248300,0,0.0000149559
0.291816,2.4459424911,2.4451653759,0.0026555675,0.0000000000,0.0007771152,0.0026555675,0.0000925649,0.0045532531,0.0213632925,0.0000228631,0.4963644898,0.8856932083,0.0000023994,-0.0002391407,-0.0001237025,-0.0000000000,0.0000224240,0.0000000000,0.0644638019,-0.0502195489,-0.079,1.000000,10.2827248300,0,0.0000251325
0.333470,2.4461797419,2.4451653759,0.0030307149,0.0000000000,0.0010143660,0.0030307149,0.0001348301,0.0055260601,0.0233473680,0.0000384270,0.4963645411,0.8856933555,0.0000035346,-0.0002918992,-0.0001411778,-0.0000000000,0.0000255918,0.0000000000,0.0644638019,-0.0612988339,-0.068,1.000000,10.2827248300,0,0.0000398477
0.375117,2.4464483107,2.4451653759,0.0034042421,0.0000000000,0.0012829348,0.0034042421,0.0001882857,0.0065834731,0.0253779129,0.0000609376,0.4963646167,0.8856935646,0.0000050178,-0.0003495707,-0.0001585775,-0.0000000000,0.0000287459,0.0000000000,0.0644638019,-0.0734098503,-0.056,1.000000,10.2827248300,0,0.0000603644
0.416866,2.4467489098,2.4451653759,0.0037769196,0.0000000000,0.0015835339,0.0037769196,0.0002542663,0.0077296348,0.0275078813,0.0000923310,0.4963647240,0.8856938529,0.0000069189,-0.0004124081,-0.0001759377,-0.0000000000,0.0000318929,0.0000000000,0.0644638019,-0.0866056930,-0.043,1.000000,10.2827248300,0,0.0000881675
0.458453,2.4470794732,2.4451653759,0.0041462084,0.0000000000,0.0019140973,0.0041462084,0.0003340204,0.0089589146,0.0295027144,0.0001348843,0.4963648720,0.8856942403,0.0000092980,-0.0004801384,-0.0001931400,-0.0000000000,0.0000350112,0.0000000000,0.0644638019,-0.1008290608,-0.029,1.000000,10.2827248300,0,0.0001248933
0.500200,2.4474424323,2.4451653759,0.0045147628,0.0000000000,0.0022770564,0.0045147628,0.0004288977,0.0102812896,0.0317369997,0.0001911098,0.4963650709,0.8856947508,0.0000122513,-0.0005533518,-0.0002103082,-0.0000000000,0.0000381233,0.0000000000,0.0644638019,-0.1162038756,-0.013,1.000000,10.2827248300,0,0.0001724888
0.541769,2.4478347300,2.4451653759,0.0048794338,0.0000000000,0.0026693541,0.0048794338,0.0005401208,0.0116882185,0.0337662941,0.0002639960,0.4963653330,0.8856954109,0.0000158437,-0.0006316353,-0.0002272954,-0.0000000000,0.0000412025,0.0000000000,0.0644638019,-0.1326434122,0.003,1.000000,10.2827248300,0,0.0002330280
0.583456,2.4482589285,2.4451653759,0.0052426045,0.0000000000,0.0030935526,0.0052426045,0.0006690188,0.0131896798,0.0360350709,0.0003567305,0.4963656719,0.8856962523,0.0000201919,-0.0007156087,-0.0002442127,-0.0000000000,0.0000442692,0.0000000000,0.0644638019,-0.1502778174,0.021,1.000000,10.2827248300,0,0.0003089453
0.625108,2.4487134375,2.4451653759,0.0056027616,0.0000000000,0.0035480616,0.0056027616,0.0008168547,0.0147821744,0.0382198699,0.0004730550,0.4963661039,0.8856973101,0.0000253875,-0.0008051678,-0.0002609897,-0.0000000000,0.0000473103,0.0000000000,0.0644638019,-0.1690852428,0.039,1.000000,10.2827248300,0,0.0004028763
