t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000003,2.4405634335,2.4405634335,0.0000000232,0.0000000000,0.0000000000,0.0000000232,0.0000000000,0.0000000232,0.0000005564,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,-0.0000000014,-0.0000000014,-0.0000000000,0.0000000002,0.0000000000,0.0615854214,-0.0000002888,-0.130,1.000000,10.1211443054,0,0.0000000000
0.041779,2.4405793842,2.4405634335,0.0003817658,0.0000000000,0.0000159507,0.0003817658,0.0000006646,0.0004204173,0.0100894592,0.0000000000,0.4963644172,0.8856929680,0.0000000236,-0.0000252071,-0.0000231515,-0.0000000000,0.0000026797,0.0000000000,0.0615854214,-0.0052934994,-0.124,1.000000,10.1211443054,0,0.0000000985
0.083437,2.4406270466,2.4390294527,0.0007622313,0.0000000000,0.0015975939,0.0007622313,0.0000672310,0.0046344239,0.1011361589,0.0000001515,0.4963644177,0.8856930876,0.0000028702,-0.0003020580,-0.0000462241,-0.0000000000,0.0000053504,0.0000000000,0.0615854214,-0.0634321746,-0.066,1.000000,10.1211443054,0,0.0000120883
0.125130,2.4407064840,2.4405634335,0.0011426228,0.0000000000,0.0001430504,0.0011426228,0.0000731915,0.0015832638,-0.0732278425,0.0000185532,0.4963644791,0.8856931015,0.0000003350,-0.0000970143,-0.0000692922,-0.0000000000,0.0000080205,0.0000000000,0.0615854214,-0.0203730027,-0.109,1.000000,10.1211443054,0,0.0000124054
0.166771,2.4408174831,2.4405634335,0.0015219495,0.0000000000,0.0002540496,0.0015219495,0.0000837769,0.0022398957,0.0157591659,0.0000190425,0.4963644863,0.8856931295,0.0000006706,-0.0001379136,-0.0000922957,-0.0000000000,0.0000106831,0.0000000000,0.0615854214,-0.0289618588,-0.101,1.000000,10.1211443054,0,0.0000140942
0.208538,2.4409605668,2.4405634335,0.0019016422,0.0000000000,0.0003971333,0.0019016422,0.0001003241,0.0029811074,0.0177890793,0.0000216381,0.4963645006,0.8856931790,0.0000011878,-0.0001844249,-0.0001153214,-0.0000000000,0.0000133483,0.0000000000,0.0615854214,-0.0387292323,-0.091,1.000000,10.1211443054,0,0.0000177908
0.250120,2.4411345518,2.4390294527,0.0022786750,0.0000000000,0.0021050991,0.0022786750,0.0001880365,0.0075199916,0.1089332215,0.0000273736,0.4963645260,0.8856934939,0.0000075586,-0.0004829193,-0.0001381859,-0.0000000000,0.0000159948,0.0000000000,0.0615854214,-0.1014130604,-0.028,1.000000,10.1211443054,0,0.0000478097
0.291768,2.4413402939,2.4390294527,0.0026551353,0.0000000000,0.0023108412,0.0026551353,0.0002843216,0.0085176438,0.0239436528,0.0000735729,0.4963646877,0.8856938981,0.0000097006,-0.0005466616,-0.0001610156,-0.0000000000,0.0000186373,0.0000000000,0.0615854214,-0.1147989407,-0.015,1.000000,10.1211443054,0,0.0000840945
0.333466,2.4415777738,2.4405634335,0.0030306767,0.0000000000,0.0010143402,0.0030306767,0.0003265858,0.0058861528,-0.0631557853,0.0001291662,0.4963648952,0.8856940912,0.0000046345,-0.0003695414,-0.0001837896,-0.0000000000,0.0000212733,0.0000000000,0.0615854214,-0.0776036943,-0.052,1.000000,10.1211443054,0,0.0000959095
0.375109,2.4418463131,2.4405634335,0.0034041697,0.0000000000,0.0012828796,0.0034041697,0.0003800391,0.0069694604,0.0259993831,0.0001473402,0.4963649944,0.8856943620,0.0000064982,-0.0004389096,-0.0002064393,-0.0000000000,0.0000238950,0.0000000000,0.0615854214,-0.0921710119,-0.037,1.000000,10.1211443054,0,0.0001144441
