t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000002,2.4405634335,2.4405634335,0.0000000188,0.0000000000,0.0000000000,0.0000000188,0.0000000000,0.0000000188,0.0000004507,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,-0.0000000011,-0.0000000011,-0.0000000000,0.0000000001,0.0000000000,0.0632000000,-0.0000002339,-0.130,1.000000,10.1211443054,0,0.0000000000
0.041761,2.4405793704,2.4405634335,0.0003815995,0.0000000000,0.0000159368,0.0003815995,0.0000006640,0.0004202173,0.0100847652,0.0000000000,0.4963644172,0.8856929680,0.0000000236,-0.0000251950,-0.0000231414,-0.0000000000,0.0000026786,0.0000000000,0.0632000000,-0.0052909588,-0.124,1.000000,10.1211443054,0,0.0000000984
0.083446,2.4406270593,2.4405634335,0.0007623076,0.0000000000,0.0000636258,0.0007623076,0.0000033151,0.0009174130,0.0119326971,0.0000001511,0.4963644177,0.8856929727,0.0000001125,-0.0000555025,-0.0000462287,-0.0000000000,0.0000053509,0.0000000000,0.0632000000,-0.0116555242,-0.118,1.000000,10.1211443054,0,0.0000005589
0.125125,2.4407064711,2.4405634335,0.0011425714,0.0000000000,0.0001430376,0.0011425714,0.0000092750,0.0014938130,0.0138335988,0.0000008577,0.4963644201,0.8856929851,0.0000002982,-0.0000910673,-0.0000692891,-0.0000000000,0.0000080201,0.0000000000,0.0632000000,-0.0191241329,-0.111,1.000000,10.1211443054,0,0.0000017531
0.166793,2.4408175510,2.4405634335,0.0015221524,0.0000000000,0.0002541175,0.0015221524,0.0000198632,0.0021508941,0.0157699471,0.0000026911,0.4963644265,0.8856930109,0.0000006183,-0.0001319903,-0.0000923080,-0.0000000000,0.0000106845,0.0000000000,0.0632000000,-0.0277179562,-0.102,1.000000,10.1211443054,0,0.0000041763
0.208442,2.4409602000,2.4405634335,0.0019007669,0.0000000000,0.0003967664,0.0019007669,0.0000363952,0.0028899780,0.0177380123,0.0000064117,0.4963644397,0.8856930574,0.0000011162,-0.0001783635,-0.0001152684,-0.0000000000,0.0000133421,0.0000000000,0.0632000000,-0.0374563288,-0.092,1.000000,10.1211443054,0,0.0000084611
0.250110,2.4411345076,2.4405634335,0.0022785873,0.0000000000,0.0005710741,0.0022785873,0.0000601899,0.0037132932,0.0197595645,0.0000129922,0.4963644636,0.8856931341,0.0000018428,-0.0002303379,-0.0001381806,-0.0000000000,0.0000159942,0.0000000000,0.0632000000,-0.0483709522,-0.081,1.000000,10.1211443054,0,0.0000153963
0.291770,2.4413403051,2.4405634335,0.0026551541,0.0000000000,0.0007768715,0.0026551541,0.0000925596,0.0046218151,0.0218045273,0.0000236452,0.4963645030,0.8856932531,0.0000028551,-0.0002879885,-0.0001610167,-0.0000000000,0.0000186374,0.0000000000,0.0632000000,-0.0604775893,-0.069,1.000000,10.1211443054,0,0.0000259377
0.333445,2.4415776487,2.4405634335,0.0030304916,0.0000000000,0.0010142152,0.0030304916,0.0001348185,0.0056175397,0.0238973900,0.0000398411,0.4963645641,0.8856934289,0.0000042183,-0.0003514587,-0.0001837783,-0.0000000000,0.0000212720,0.0000000000,0.0632000000,-0.0738063176,-0.056,1.000000,10.1211443054,0,0.0000412281
0.375118,2.4418463752,2.4405634335,0.0034042510,0.0000000000,0.0012829417,0.0034042510,0.0001882744,0.0067015599,0.0260164839,0.0000633391,0.4963646543,0.8856936791,0.0000060045,-0.0004208394,-0.0002064443,-0.0000000000,0.0000238955,0.0000000000,0.0632000000,-0.0883762831,-0.041,1.000000,10.1211443054,0,0.0000626079
0.416804,2.4421464927,2.4405634335,0.0037763616,0.0000000000,0.0015830592,0.0037763616,0.0002542352,0.0078756533,0.0281782419,0.0000962032,0.4963647828,0.8856940247,0.0000082948,-0.0004962724,-0.0002290102,-0.0000000000,0.0000265075,0.0000000000,0.0632000000,-0.1042171937,-0.025,1.000000,10.1211443054,0,0.0000916351
