t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
0.000002,2.4405634335,2.4405634335,0.0000000201,0.0000000000,0.0000000000,0.0000000201,0.0000000000,0.0000000201,0.0000004832,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,-0.0000000013,-0.0000000014,0.0000000000,0.0000000000,0.0630753148,-0.0000002709,-0.130,0,0.0000000000
0.041791,2.4405793933,2.4405634335,0.0003818739,0.0000000000,0.0000159598,0.0003818739,0.0000006650,0.0004207295,0.0100970245,0.0000000000,0.4963644172,0.8856929680,0.0000000230,-0.0000269750,-0.0000260381,0.0000001151,0.0000000000,0.0630753148,-0.0056647551,-0.124,0,0.0000000987
0.083592,2.4406272820,2.4405634335,0.0007636398,0.0000000000,0.0000638485,0.0007636398,0.0000033253,0.0009200235,0.0119830568,0.0000001514,0.4963644177,0.8856929725,0.0000001098,-0.0000590088,-0.0000520688,0.0000002301,0.0000000000,0.0630753148,-0.0123918463,-0.117,0,0.0000005617
0.125142,2.4407065110,2.4405634335,0.0011427307,0.0000000000,0.0001430775,0.0011427307,0.0000092869,0.0014957592,0.0138176556,0.0000008622,0.4963644201,0.8856929846,0.0000002902,-0.0000959658,-0.0000779171,0.0000003443,0.0000000000,0.0630753148,-0.0201528216,-0.110,0,0.0000017590
0.166771,2.4408174830,2.4405634335,0.0015219493,0.0000000000,0.0002540495,0.0015219493,0.0000198723,0.0021535624,0.0157872772,0.0000027001,0.4963644263,0.8856930097,0.0000006016,-0.0001382087,-0.0001037741,0.0000004585,0.0000000000,0.0630753148,-0.0290238220,-0.101,0,0.0000041880
0.208464,2.4409602837,2.4405634335,0.0019009668,0.0000000000,0.0003968502,0.0019009668,0.0000364077,0.0028951793,0.0177988057,0.0000064298,0.4963644391,0.8856930550,0.0000010874,-0.0001858523,-0.0001296175,0.0000005727,0.0000000000,0.0630753148,-0.0390289898,-0.091,0,0.0000084886
0.250141,2.4411346490,2.4405634335,0.0022788679,0.0000000000,0.0005712155,0.0022788679,0.0000602084,0.0037209228,0.0198178436,0.0000130344,0.4963644624,0.8856931298,0.0000017962,-0.0002389216,-0.0001553846,0.0000006866,0.0000000000,0.0630753148,-0.0501735327,-0.079,0,0.0000154530
0.291746,2.4413401777,2.4405634335,0.0026549381,0.0000000000,0.0007767442,0.0026549381,0.0000925727,0.0046309580,0.0218408465,0.0000237321,0.4963645008,0.8856932458,0.0000027825,-0.0002974345,-0.0001810270,0.0000007999,0.0000000000,0.0630753148,-0.0624612359,-0.067,0,0.0000260365
0.333459,2.4415777336,2.4405634335,0.0030306173,0.0000000000,0.0010143001,0.0030306173,0.0001348352,0.0056306598,0.0239928419,0.0000399928,0.4963645603,0.8856934172,0.0000041140,-0.0003617477,-0.0002066427,0.0000009131,0.0000000000,0.0630753148,-0.0759670157,-0.054,0,0.0000414004
0.375252,2.4418472874,2.4405634335,0.0034054470,0.0000000000,0.0012838539,0.0034054470,0.0001883291,0.0067213814,0.0261773176,0.0000636036,0.4963646483,0.8856936615,0.0000058632,-0.0004319650,-0.0002322005,0.0000010260,0.0000000000,0.0630753148,-0.0907126599,-0.039,0,0.0000629132
