t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
0.000002,2.4390294527,2.4390294527,0.0000000227,0.0000000000,0.0000000000,0.0000000227,0.0000000000,0.0000000227,0.0000005444,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,-0.0000000010,-0.0000002164,-0.130,0,0.0000000000
0.041809,2.4390454267,2.4374954720,0.0003820441,0.0000000000,0.0015499548,0.0003820441,0.0000645814,0.0038569592,0.0925664758,0.0000000000,0.4963644172,0.8856930237,0.0000013616,-0.0001752341,-0.0367991620,-0.093,0,0.0000037268
0.083587,2.4390932939,2.4359614912,0.0007635956,-0.0024328432,0.0031392804,0.0031964389,0.0001953848,0.0103121054,0.1549235094,0.0000071434,0.4963644463,0.8856934293,0.0000097342,-0.0004685488,-0.0983952534,-0.031,0,0.0000302891
0.125104,2.4391724421,2.4359614912,0.0011423790,-0.0021860324,0.0032176700,0.0033284114,0.0003294544,0.0107769319,0.0111558368,0.0000580589,0.4963646546,0.8856938726,0.0000106375,-0.0004899416,-0.1028877385,-0.027,0,0.0000582125
0.166805,2.4392836066,2.4344275104,0.0015222611,-0.0019642605,0.0048621336,0.0034865216,0.0005320433,0.0147828728,0.0961425813,0.0001118218,0.4963648821,0.8856947070,0.0000200272,-0.0006724548,-0.1412155022,0.012,0,0.0001108199
0.208584,2.4394267587,2.4328935296,0.0019020540,-0.0017649872,0.0065386540,0.0036670412,0.0008044872,0.0189653916,0.1003804509,0.0002133307,0.4963653105,0.8856960820,0.0000329995,-0.0008636688,-0.1813704383,0.052,0,0.0001969770
0.250129,2.4396006132,2.4328935296,0.0022787587,-0.0015859301,0.0067119582,0.0038646888,0.0010841521,0.0198788119,0.0219220881,0.0003792074,0.4963660165,0.8856975953,0.0000363203,-0.0009069032,-0.1904496729,0.061,0,0.0002885158
0.291819,2.4398065824,2.4328935296,0.0026555921,-0.0014250382,0.0069174329,0.0040806303,0.0013723785,0.0208913240,0.0243002894,0.0005554719,0.4963667934,0.8856992700,0.0000401913,-0.0009549249,-0.2005342368,0.071,0,0.0003866787
0.333477,2.4400438619,2.4313595488,0.0030307788,-0.0012804688,0.0086882488,0.0043112475,0.0017343889,0.0254382056,0.1091251589,0.0007460633,0.4963676532,0.8857017580,0.0000597133,-0.0011651676,-0.2446852056,0.115,0,0.0005342780
0.375147,2.4403125870,2.4313595488,0.0034045036,-0.0011505658,0.0089565746,0.0045550694,0.0021075795,0.0267184125,0.0307249647,0.0010309291,0.4963689305,0.8857045113,0.0000660782,-0.0012275871,-0.2577932987,0.128,0,0.0006926509
0.416846,2.4406128346,2.4298255680,0.0037767408,-0.0010338415,0.0107904442,0.0048105823,0.0025571813,0.0315336038,0.1155645910,0.0013393939,0.4963703440,0.8857083592,0.0000923484,-0.0014536552,-0.3052675853,0.176,0,0.0009159327
0.458467,2.4409436624,2.4298255680,0.0041463279,-0.0009289587,0.0111209496,0.0050752867,0.0030205542,0.0330793031,0.0370967845,0.0017713167,0.4963723194,0.8857126132,0.0001020962,-0.0015320078,-0.3217216472,0.192,0,0.0011552833
0.500114,2.4413057301,2.4282915872,0.0045140065,-0.0008347163,0.0130167085,0.0053487228,0.0035629171,0.0381594887,0.1219244543,0.0022389832,0.4963745033,0.8857183025,0.0001365443,-0.0017761534,-0.3729922233,0.243,0,0.0014772271
0.541800,2.4416991023,2.4282915872,0.0048796973,-0.0007500347,0.0134098204,0.0056297320,0.0041216596,0.0399732690,0.0435307263,0.0028631860,0.4963774240,0.8857245871,0.0001508305,-0.0018729731,-0.3933243449,0.264,0,0.0018218423
0.583437,2.4421228007,2.4282915872,0.0052424360,-0.0006739441,0.0138332849,0.0059163801,0.0046980465,0.0418804110,0.0457714086,0.0035314734,0.4963806502,0.8857315345,0.0001667384,-0.0019762390,-0.4150101820,0.285,0,0.0021918537
0.625112,2.4425775534,2.4282915872,0.0056027914,-0.0006055728,0.0142878275,0.0062083642,0.0052933726,0.0438837569,0.0480803014,0.0042491546,0.4963842166,0.8857392201,0.0001844538,-0.0020864205,-0.4381482960,0.308,0,0.0025902098
0.666769,2.4430626220,2.4282915872,0.0059600922,-0.0005441377,0.0147727072,0.0065042299,0.0059089021,0.0459817469,0.0503517601,0.0050219711,0.4963881618,0.8857477262,0.0002041461,-0.0022038246,-0.4628031617,0.333,0,0.0030199956
0.708444,2.4435782445,2.4267576064,0.0063144476,-0.0004889352,0.0168221409,0.0068033828,0.0066098246,0.0516149360,0.1351965385,0.0058677928,0.4963925280,0.8857585380,0.0002594829,-0.0024955063,-0.5240563126,0.394,0,0.0035731073
0.750191,2.4441250070,2.4267576064,0.0066661172,-0.0004393329,0.0173687509,0.0071054502,0.0073335226,0.0539843562,0.0568660853,0.0069432106,0.4963980775,0.8857704958,0.0002869874,-0.0026389122,-0.5541715558,0.425,0,0.0041670569
0.791822,2.4447002292,2.4267576064,0.0070133468,-0.0003947628,0.0179438361,0.0074081096,0.0080811824,0.0564455639,0.0590689846,0.0080982399,0.4964042151,0.8857837221,0.0003174321,-0.0027916210,-0.5862404049,0.457,0,0.0048056621
0.833451,2.4453051539,2.4267576064,0.0073569110,-0.0003547143,0.0185486377,0.0077116253,0.0088540423,0.0590030312,0.0613792148,0.0093403363,0.4964110034,0.8857983543,0.0003511727,-0.0029545259,-0.6204504408,0.491,0,0.0054930642
0.875101,2.4459399249,2.4267576064,0.0076968110,-0.0003187287,0.0191832981,0.0080155397,0.0096533464,0.0616581070,0.0637218196,0.0106775833,0.4964185128,0.8858145449,0.0003885724,-0.0031284540,-0.6569753408,0.527,0,0.0062336536
0.916807,2.4466049371,2.4267576064,0.0080331369,-0.0002863938,0.0198482109,0.0083195308,0.0104803552,0.0644128460,0.0661137365,0.0121185512,0.4964268215,0.8858324635,0.0004300477,-0.0033143574,-0.6960150610,0.566,1,0.0070321042
0.958587,2.4473003855,2.4267576064,0.0083658318,-0.0002573393,0.0205435700,0.0086231711,0.0113363373,0.0672687694,0.0685421612,0.0136723628,0.4964360164,0.8858522993,0.0004760589,-0.0035132618,-0.7377849809,0.608,1,0.0078933699
1.000108,2.4480203020,2.4267576064,0.0086920941,-0.0002312324,0.0212634062,0.0089233265,0.0122223125,0.0702108845,0.0706107609,0.0153486467,0.4964461944,0.8858742524,0.0005268754,-0.0037254240,-0.7823390301,0.653,1,0.0088221033
1.041816,2.4487720771,2.4267576064,0.0090152516,-0.0002077740,0.0220151093,0.0092230256,0.0131396087,0.0732600119,0.0731790580,0.0171565266,0.4964574579,0.8858985580,0.0005833345,-0.0039530538,-0.8301412986,0.700,0,0.0098239344
1.083450,2.4495509008,2.4267576064,0.0093331001,-0.0001866954,0.0227938682,0.0095197954,0.0140893532,0.0764044875,0.0754674152,0.0191069495,0.4964699273,0.8859254693,0.0006458710,-0.0041968153,-0.8813312155,0.752,0,0.0109043033
1.125104,2.4503581539,2.4267576064,0.0096461672,-0.0001677552,0.0236010631,0.0098139224,0.0150727309,0.0796490463,0.0778694098,0.0212105320,0.4964837321,0.8859552708,0.0007152353,-0.0044583421,-0.9362518340,0.807,1,0.0120690773
1.166791,2.4511938965,2.4267576064,0.0099543788,-0.0001507365,0.0244367534,0.0101051153,0.0160909289,0.0829949528,0.0803017583,0.0234787102,0.4964990178,0.8859882797,0.0007922124,-0.0047392363,-0.9952396188,0.866,1,0.0133244314
1.208451,2.4520566577,2.4267576064,0.0102571201,-0.0001354444,0.0252994676,0.0103925644,0.0171450734,0.0864395249,0.0826697288,0.0259235004,0.4965159465,0.8860248464,0.0008776030,-0.0050410259,-1.0586154462,0.929,0,0.0146766846
1.250108,2.4529465519,2.4267576064,0.0105543793,-0.0001217036,0.0261893195,0.0106760829,0.0182362951,0.0899841831,0.0850717977,0.0285572062,0.4965346975,0.8860653623,0.0009723807,-0.0053656181,-1.1267797915,0.997,0,0.0161324790
1.291776,2.4538636262,2.4267576064,0.0108460997,-0.0001093568,0.0271063559,0.0109554566,0.0193657266,0.0936301763,0.0875038353,0.0313927524,0.4965554705,0.8861102637,0.0010776334,-0.0057150884,-1.2001685685,1.071,1,0.0176987828
1.333463,2.4548077533,2.4267576064,0.0111321561,-0.0000982626,0.0280504489,0.0112304188,0.0205344953,0.0973783115,0.0899552449,0.0344436880,0.4965784881,0.8861600374,0.0011945689,-0.0060916772,-1.2792522076,1.150,1,0.0193828797
1.375104,2.4557770922,2.4267576064,0.0114119353,-0.0000882939,0.0290197572,0.0115002293,0.0217436518,0.1012250744,0.0923223106,0.0377241403,0.4966039988,0.8862152218,0.0013244251,-0.0064975481,-1.3644850920,1.235,1,0.0211921514
1.416849,2.4567748733,2.4282915872,0.0116862718,-0.0000793366,0.0284835299,0.0117656084,0.0229304656,0.1017405867,0.0123722940,0.0411679998,0.4966322768,0.8862724550,0.0013735972,-0.0067050204,-1.4080542770,1.278,0,0.0229480391
1.458462,2.4577950719,2.4267576064,0.0119534527,-0.0000712879,0.0310376846,0.0120247407,0.0242237024,0.1091514857,0.1778615759,0.0446696247,0.4966615984,0.8863400680,0.0016227125,-0.0073836741,-1.5505715667,1.421,0,0.0250351620
1.500106,2.4588412132,2.4267576064,0.0122143791,-0.0000640558,0.0320838036,0.0122784349,0.0255605276,0.1133038374,0.0996564420,0.0487350073,0.4966962294,0.8864150978,0.0018007141,-0.0078938890,-1.6577166817,1.528,1,0.0272714993
1.541865,2.4599152131,2.4267576064,0.0124693915,-0.0000575574,0.0331577836,0.0125269488,0.0269421019,0.1175658257,0.1022877203,0.0530908413,0.4967346487,0.8864983868,0.0019989369,-0.0084458321,-1.7736247370,1.644,1,0.0296662248
1.583511,2.4610108231,2.4267576064,0.0127169342,-0.0000517182,0.0342533757,0.0127686524,0.0283693259,0.1219232055,0.1045771133,0.0577547449,0.4967772840,0.8865908530,0.0022191875,-0.0090421009,-1.8988411916,1.769,2,0.0322279450
1.625138,2.4621299979,2.4267576064,0.0129574369,-0.0000464714,0.0353725343,0.0130039083,0.0298431815,0.1263818026,0.1070063307,0.0627433386,0.4968246011,0.8866935255,0.0024641413,-0.0096868850,-2.0342458601,1.905,2,0.0349659136
1.666803,2.4632739278,2.4267576064,0.0131910759,-0.0000417569,0.0365164497,0.0132328328,0.0313647002,0.1309455812,0.1095306866,0.0680744592,0.4968771211,0.8868075560,0.0027367313,-0.0103846129,-2.1807687001,2.051,2,0.0378899451
1.708474,2.4644413221,2.4267576064,0.0134174973,-0.0000375207,0.0376838310,0.0134550179,0.0329348598,0.1356124782,0.1120055276,0.0737669447,0.4969354265,0.8869342214,0.0030399706,-0.0111396024,-2.3393165136,2.210,1,0.0410100234
1.750202,2.4656332908,2.4267576064,0.0136368178,-0.0000337142,0.0388757880,0.0136705320,0.0345546843,0.1403862243,0.1145699078,0.0798399676,0.4970001622,0.8870749485,0.0033774488,-0.0119569609,-2.5109617797,2.381,2,0.0443367068
1.791833,2.4668449786,2.4267576064,0.0138480884,-0.0000302939,0.0400874652,0.0138783823,0.0362249954,0.1452561713,0.1168787264,0.0863136196,0.4970720471,0.8872312996,0.0037524279,-0.0128409486,-2.6965992007,2.567,1,0.0478800801
1.833460,2.4680785839,2.4267576064,0.0140516615,-0.0000272206,0.0413210611,0.0140788821,0.0379467063,0.1502285478,0.1193370376,0.0932071786,0.4971518668,0.8874050208,0.0041693077,-0.0137975047,-2.8974759960,2.768,4,0.0516509851
1.875104,2.4693342798,2.4282915872,0.0142474877,-0.0000244591,0.0410427678,0.0142719468,0.0396568216,0.1518656518,0.0392904948,0.1003517687,0.4972404973,0.8875894145,0.0044254492,-0.0144898634,-3.0428713066,2.913,4,0.0553800417
1.916769,2.4706117854,2.4267576064,0.0144354350,-0.0000219777,0.0438542465,0.0144574128,0.0414840819,0.1604083320,0.2050243242,0.1077926816,0.4973345072,0.8878031141,0.0051287901,-0.0159014451,-3.3393034792,3.210,3,0.0596455822
1.958523,2.4719128331,2.4267576064,0.0146156402,-0.0000197481,0.0451552874,0.0146353883,0.0433655522,0.1656979051,0.1269497550,0.1160834544,0.4974433737,0.8880406244,0.0057002475,-0.0171127713,-3.5936819696,3.464,2,0.0641734165
2.000142,2.4732299556,2.4267576064,0.0147870126,-0.0000177447,0.0464724037,0.0148047573,0.0453019023,0.1710800238,0.1291708500,0.1248803830,0.4975642635,0.8883045427,0.0063340387,-0.0184217375,-3.8685648775,3.739,2,0.0689747604
2.041839,2.4745693393,2.4282915872,0.0149503052,-0.0000159445,0.0462778011,0.0149662496,0.0472301440,0.1731309902,0.0492231940,0.1339554885,0.4976984629,0.8885861609,0.0067588386,-0.0194295867,-4.0802132011,3.951,3,0.0737415538
2.083477,2.4759261572,2.4282915872,0.0151048471,-0.0000143269,0.0476346140,0.0151191741,0.0492149196,0.1786418396,0.1322603853,0.1431928606,0.4978415094,0.8888982756,0.0074907526,-0.0208753313,-4.3838195755,4.254,5,0.0788027947
2.125293,2.4773076978,2.4282915872,0.0152513469,-0.0000128735,0.0490161501,0.0152642204,0.0512572592,0.1842681420,0.1350312569,0.1529962078,0.4979998615,0.8892442295,0.0083028937,-0.0224392555,-4.7122436560,4.583,2,0.0841722274
2.166795,2.4786971782,2.4282915872,0.0153880013,-0.0000115675,0.0504056265,0.0153995687,0.0533574937,0.1899716887,0.1368851207,0.1633905013,0.4981751546,0.8896275612,0.0091999600,-0.0241256553,-5.0663876151,4.937,5,0.0898602320
2.208437,2.4801091505,2.4282915872,0.0155162312,-0.0000103939,0.0518175952,0.0155266251,0.0555165601,0.1957869078,0.1395652573,0.1743952834,0.4983691071,0.8900522971,0.0101936611,-0.0259476277,-5.4490018128,5.319,5,0.0958808341
2.250140,2.4815405619,2.4282915872,0.0156356064,-0.0000093395,0.0532490034,0.0156449459,0.0577352686,0.2017076372,0.1420975076,0.1860363336,0.4985836649,0.8905228445,0.0112931371,-0.0279145291,-5.8620511099,5.732,4,0.1022477632
2.291768,2.4829862248,2.4298255680,0.0157456224,-0.0000083920,0.0531606826,0.0157540144,0.0599502970,0.2042836002,0.0618231106,0.1979780427,0.4988209420,0.8910262516,0.0120817721,-0.0295013449,-6.1952824241,6.066,6,0.1085942882
2.333463,2.4844505599,2.4328935296,0.0158465404,0.0048581458,0.0515420981,0.0109883946,0.0620978845,0.1985496861,-0.1376139379,0.2092131935,0.4990742961,0.8915202504,0.0118559704,-0.0298011555,-6.2582426450,6.129,6,0.1140409227
2.375215,2.4859327268,2.4390294527,0.0159381773,0.0140966621,0.0468599461,0.0018415151,0.0640503822,0.1814851552,-0.4095487424,0.2175650462,0.4993224191,0.8919444457,0.0101806866,-0.0280102528,-5.8821530807,5.752,6,0.1175426528
2.416808,2.4874244970,2.4466993567,0.0160199834,0.0272636218,0.0406413421,-0.0112436384,0.0657437715,0.1568033841,-0.5923625062,0.2213898649,0.4995350887,0.8922650250,0.0076939042,-0.0245107918,-5.1472662748,5.246,7,0.1187327663
2.458442,2.4889323993,2.4559032414,0.0160922816,0.0439604861,0.0328940396,-0.0278682045,0.0671143564,0.1248437240,-0.7670318417,0.2200836402,0.4996955695,0.8924673928,0.0048568275,-0.0194397852,-4.0823548828,4.739,5,0.1175901755
2.500249,2.4904608357,2.4651071261,0.0161551227,0.0589634614,0.0251724777,-0.0428083387,0.0681632097,0.0942384826,-0.7345257943,0.2145151361,0.4997967670,0.8925806416,0.0027179714,-0.0144148473,-3.0271179378,4.233,5,0.1148317677
2.541788,2.4919930731,2.4712430493,0.0162077730,0.0724443920,0.0205273565,-0.0562366190,0.0690185162,0.0716558754,-0.5419825731,0.2070257591,0.4998533629,0.8926445151,0.0015329641,-0.0106935717,-2.2456500610,3.726,5,0.1112776581
2.583531,2.4935459016,2.4758449916,0.0162507514,0.0772591589,0.0174634439,-0.0610084075,0.0697461597,0.0610422741,-0.2547264308,0.1991648567,0.4998852721,0.8926896478,0.0010831828,-0.0088703628,-1.8627761830,3.219,3,0.1075318984
