t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
0.000001,2.4451653759,2.4451653759,0.0000000080,0.0000000000,0.0000000000,0.0000000080,0.0000000000,0.0000000080,0.0000001910,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,-0.0000000004,-0.0000000759,-0.130,0,0.0000000000
0.041773,2.4451813220,2.4451653759,0.0003817111,0.0000000000,0.0000159462,0.0003817111,0.0000006644,0.0004174616,0.0100188866,0.0000000000,0.4963644172,0.8856929677,0.0000000160,-0.0000189666,-0.0039829916,-0.126,0,0.0000000433
0.083433,2.4452289820,2.4451653759,0.0007621898,0.0000000000,0.0000636061,0.0007621898,0.0000033147,0.0009055893,0.0117150653,0.0000000821,0.4963644176,0.8856929708,0.0000000751,-0.0000411439,-0.0086402151,-0.121,0,0.0000002453
0.125130,2.4453084253,2.4451653759,0.0011426187,0.0000000000,0.0001430494,0.0011426187,0.0000092751,0.0014673091,0.0134812757,0.0000004651,0.4963644192,0.8856929790,0.0000001971,-0.0000666649,-0.0139996349,-0.116,0,0.0000007702
0.166767,2.4454194132,2.4451653759,0.0015219129,0.0000000000,0.0002540373,0.0015219129,0.0000198600,0.0021025912,0.0152467706,0.0000014605,0.4963644234,0.8856929959,0.0000004047,-0.0000955290,-0.0200610966,-0.110,0,0.0000018371
0.208448,2.4455621649,2.4451653759,0.0019008207,0.0000000000,0.0003967890,0.0019008207,0.0000363928,0.0028142542,0.0170799106,0.0000034842,0.4963644320,0.8856930261,0.0000007250,-0.0001278655,-0.0268517595,-0.103,0,0.0000037297
0.250132,2.4457365466,2.4451653759,0.0022787790,0.0000000000,0.0005711707,0.0022787790,0.0000601916,0.0036030245,0.0189304893,0.0000070749,0.4963644475,0.8856930756,0.0000011883,-0.0001637097,-0.0343790366,-0.095,0,0.0000068027
0.291787,2.4459423358,2.4451653759,0.0026553040,0.0000000000,0.0007769599,0.0026553040,0.0000925649,0.0044695027,0.0207954762,0.0000129063,0.4963644730,0.8856931518,0.0000018287,-0.0002030926,-0.0426494441,-0.087,0,0.0000114881
0.333443,2.4461795759,2.4451653759,0.0030304692,0.0000000000,0.0010142000,0.0030304692,0.0001348233,0.0054154313,0.0227022853,0.0000217995,0.4963645121,0.8856932637,0.0000026850,-0.0002460992,-0.0516808253,-0.078,0,0.0000183056
0.375096,2.4464481681,2.4451653759,0.0034040550,0.0000000000,0.0012827922,0.0034040550,0.0001882729,0.0064419430,0.0246362810,0.0000347429,0.4963645695,0.8856934220,0.0000037999,-0.0002927894,-0.0614857836,-0.068,0,0.0000278694
0.416795,2.4467483709,2.4451653759,0.0037762860,0.0000000000,0.0015829950,0.0037762860,0.0002542311,0.0075514113,0.0266272391,0.0000529052,0.4963646508,0.8856936396,0.0000052225,-0.0003432835,-0.0720895251,-0.058,0,0.0000409014
0.458462,2.4470795425,2.4451653759,0.0041462822,0.0000000000,0.0019141666,0.0041462822,0.0003339880,0.0087430992,0.0286005091,0.0000776602,0.4963647625,0.8856939314,0.0000070028,-0.0003975645,-0.0834885492,-0.046,0,0.0000582280
