t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
0.000002,2.4405634335,2.4420974143,0.0000000142,0.0000000000,-0.0015339808,0.0000000142,-0.0000639159,-0.0037346115,-0.0896306754,-0.0000000000,0.4963644172,0.8856930424,0.0000018092,0.0002404655,0.0504977490,-0.180,0,0.0000077579
0.041796,2.4405793974,2.4405634335,0.0003819233,0.0000000000,0.0000159639,0.0003819233,-0.0000632507,0.0003305968,0.0975649975,0.0000119043,0.4963644559,0.8856930430,0.0000000142,-0.0000212885,-0.0044705923,-0.125,0,0.0000071253
0.083443,2.4406270548,2.4405634335,0.0007622807,0.0000000000,0.0000636213,0.0007622807,-0.0000605998,0.0008279194,0.0119357435,0.0000109349,0.4963644562,0.8856930467,0.0000000889,-0.0000533129,-0.0111957011,-0.118,0,0.0000068705
0.125120,2.4407064615,2.4405634335,0.0011425331,0.0000000000,0.0001430280,0.0011425331,-0.0000546403,0.0014052357,0.0138555922,0.0000105452,0.4963644581,0.8856930574,0.0000002562,-0.0000904882,-0.0190025165,-0.111,0,0.0000073574
0.166762,2.4408174545,2.4405634335,0.0015218642,0.0000000000,0.0002540210,0.0015218642,-0.0000440561,0.0020631997,0.0157911356,0.0000112941,0.4963644636,0.8856930804,0.0000005522,-0.0001328576,-0.0279000971,-0.102,0,0.0000090735
0.208456,2.4409602555,2.4405634335,0.0019008994,0.0000000000,0.0003968220,0.0019008994,-0.0000275219,0.0028048332,0.0177992032,0.0000139305,0.4963644754,0.8856931229,0.0000010206,-0.0001806180,-0.0379297794,-0.092,0,0.0000126502
0.250146,2.4411346683,2.4405634335,0.0022789063,0.0000000000,0.0005712348,0.0022789063,-0.0000037204,0.0036307967,0.0198231249,0.0000194248,0.4963644972,0.8856931942,0.0000017103,-0.0002338161,-0.0491013719,-0.081,0,0.0000188731
0.291770,2.4413403022,2.4405634335,0.0026551493,0.0000000000,0.0007768687,0.0026551493,0.0000286491,0.0045412619,0.0218511635,0.0000289850,0.4963645338,0.8856933056,0.0000026758,-0.0002924698,-0.0614186505,-0.068,0,0.0000286920
0.333453,2.4415776977,2.4405634335,0.0030305642,0.0000000000,0.0010142642,0.0030305642,0.0000709101,0.0055403163,0.0239773057,0.0000440724,0.4963645911,0.8856934716,0.0000039831,-0.0003568531,-0.0749391614,-0.055,0,0.0000432556
0.375111,2.4418463249,2.4405634335,0.0034041851,0.0000000000,0.0012828914,0.0034041851,0.0001243639,0.0066275709,0.0260941115,0.0000664547,0.4963646763,0.8856937091,0.0000057008,-0.0004269572,-0.0896610112,-0.040,0,0.0000639041
0.416777,2.4421462940,2.4405634335,0.0037761279,0.0000000000,0.0015828604,0.0037761279,0.0001903165,0.0078052468,0.0282642217,0.0000981959,0.4963647982,0.8856940387,0.0000079088,-0.0005029478,-0.1056190353,-0.024,0,0.0000921995
0.458455,2.4424775411,2.4405634335,0.0041462194,0.0000000000,0.0019141076,0.0041462194,0.0002700709,0.0090748579,0.0304706655,0.0001417025,0.4963649674,0.8856944843,0.0000106945,-0.0005849541,-0.1228403539,-0.007,0,0.0001299378
0.500097,2.4428395639,2.4405634335,0.0045138638,0.0000000000,0.0022761303,0.0045138638,0.0003649097,0.0104364241,0.0326775879,0.0001997429,0.4963651962,0.8856950739,0.0000141507,-0.0006730199,-0.1413341801,0.012,0,0.0001791473
0.541785,2.4432329352,2.4405634335,0.0048795655,0.0000000000,0.0026695017,0.0048795655,0.0004761389,0.0118936544,0.0349735290,0.0002754453,0.4963654989,0.8856958401,0.0000183890,-0.0007674406,-0.1611625205,0.032,0,0.0002421459
0.583532,2.4436577851,2.4405634335,0.0052432621,0.0000000000,0.0030943515,0.0052432621,0.0006050703,0.0134486458,0.0373197924,0.0003723861,0.4963658923,0.8856968205,0.0000235293,-0.0008684245,-0.1823691518,0.053,0,0.0003215452
0.625091,2.4441113055,2.4405634335,0.0056026167,0.0000000000,0.0035478719,0.0056026167,0.0007528982,0.0150940761,0.0394903275,0.0004945970,0.4963663956,0.8856980566,0.0000296669,-0.0009755921,-0.2048743508,0.075,0,0.0004201122
0.666870,2.4445978173,2.4405634335,0.0059609559,0.0000000000,0.0040343838,0.0059609559,0.0009209976,0.0168454769,0.0420336194,0.0006463534,0.4963670302,0.8856995980,0.0000369940,-0.0010900627,-0.2289131639,0.099,0,0.0005411613
0.708436,2.4451121241,2.4405634335,0.0063143803,0.0000000000,0.0045486906,0.0063143803,0.0011105263,0.0186882377,0.0442262602,0.0008327749,0.4963678216,0.8857014978,0.0000455956,-0.0012110381,-0.2543179944,0.125,0,0.0006880307
0.750096,2.4456577166,2.4405634335,0.0066653253,0.0000000000,0.0050942830,0.0066653253,0.0013227881,0.0206349263,0.0467205243,0.0010590252,0.4963687969,0.8857038181,0.0000556857,-0.0013395077,-0.2812966135,0.152,0,0.0008646191
0.791767,2.4462334383,2.4405634335,0.0070128950,0.0000000000,0.0056700048,0.0070128950,0.0015590383,0.0226836709,0.0491698704,0.0013311346,0.4963699881,0.8857066278,0.0000674322,-0.0014755684,-0.3098693717,0.180,0,0.0010751126
0.833460,2.4468392750,2.4405634335,0.0073569884,0.0000000000,0.0062758415,0.0073569884,0.0018205317,0.0248361072,0.0516584720,0.0016555812,0.4963714305,0.8857100043,0.0000810366,-0.0016195885,-0.3401135763,0.210,0,0.0013240749
0.875238,2.4474760482,2.4405634335,0.0076979257,0.0000000000,0.0069126147,0.0076979257,0.0021085573,0.0270963264,0.0542452605,0.0020394320,0.4963731640,0.8857140351,0.0000967391,-0.0017721486,-0.3721512123,0.242,0,0.0016165407
0.916776,2.4481384151,2.4405634335,0.0080328897,0.0000000000,0.0075749816,0.0080328897,0.0024241816,0.0294503224,0.0564959039,0.0024904790,0.4963752333,0.8857188130,0.0001146689,-0.0019327058,-0.4058682254,0.276,0,0.0019574557
0.958437,2.4488318224,2.4405634335,0.0083646474,0.0000000000,0.0082683888,0.0083646474,0.0027686978,0.0319156275,0.0591673224,0.0030163936,0.4963776860,0.8857244465,0.0001352062,-0.0021028359,-0.4415955306,0.312,0,0.0023526980
1.000139,2.4495548260,2.4405634335,0.0086923339,0.0000000000,0.0089913924,0.0086923339,0.0031433391,0.0344896862,0.0617774095,0.0036262844,0.4963805780,0.8857310557,0.0001586204,-0.0022828883,-0.4794065478,0.350,0,0.0028084500
1.041785,2.4503054991,2.4405634335,0.0090150176,0.0000000000,0.0097420656,0.0090150176,0.0035492585,0.0371686161,0.0642943188,0.0043297329,0.4963839708,0.8857387720,0.0001851904,-0.0024732033,-0.5193726957,0.390,0,0.0033311266
1.083466,2.4510851778,2.4405634335,0.0093332179,0.0000000000,0.0105217443,0.0093332179,0.0039876645,0.0399578163,0.0669408041,0.0051366911,0.4963879317,0.8857477435,0.0002153157,-0.0026748239,-0.5617130091,0.432,0,0.0039277630
1.125112,2.4518922873,2.4405634335,0.0096462249,0.0000000000,0.0113288538,0.0096462249,0.0044597001,0.0428544483,0.0695191671,0.0060580671,0.4963925369,0.8857581333,0.0002493568,-0.0028883546,-0.6065544559,0.477,0,0.0046056697
1.166789,2.4527278354,2.4405634335,0.0099543637,0.0000000000,0.0121644019,0.0099543637,0.0049665502,0.0458629034,0.0722029236,0.0071052051,0.4963978698,0.8857701250,0.0002877988,-0.0031149946,-0.6541488589,0.524,0,0.0053727838
1.208438,2.4535903634,2.4405634335,0.0102570259,0.0000000000,0.0130269299,0.0102570259,0.0055093389,0.0489806943,0.0748269806,0.0082904141,0.4964040247,0.8857839209,0.0003311017,-0.0033556127,-0.7046786574,0.575,0,0.0062373344
1.250201,2.4544825544,2.4420974143,0.0105550383,0.0000000000,0.0123851401,0.0105550383,0.0060253864,0.0484821404,-0.0119652935,0.0096073567,0.4964111054,0.8857975663,0.0003274913,-0.0033531996,-0.7041719193,0.575,0,0.0069950216
1.291778,2.4553976467,2.4436313951,0.0108461120,0.0000000000,0.0117662516,0.0108461120,0.0065156469,0.0479946685,-0.0116993246,0.0107553864,0.4964181084,0.8858110490,0.0003235832,-0.0033468834,-0.7028455192,0.573,0,0.0076563833
1.333429,2.4563409482,2.4436313951,0.0111319237,0.0000000000,0.0127095531,0.0111319237,0.0070452116,0.0512688500,0.0785803551,0.0117750728,0.4964250275,0.8858265456,0.0003719189,-0.0036012088,-0.7562538460,0.627,0,0.0084405127
1.375112,2.4573112635,2.4451653759,0.0114119890,0.0000000000,0.0121458876,0.0114119890,0.0075512903,0.0509238896,-0.0082790500,0.0129582202,0.4964329797,0.8858419622,0.0003699990,-0.0036069458,-0.7574586221,0.628,0,0.0091323058
1.416773,2.4583070177,2.4436313951,0.0116857790,0.0000000000,0.0146756226,0.0116857790,0.0081627746,0.0580706976,0.1715233930,0.0140515475,0.4964408904,0.8858621633,0.0004848270,-0.0041447399,-0.8703953773,0.741,0,0.0102009000
1.458438,2.4593284589,2.4451653759,0.0119533010,0.0000000000,0.0141630830,0.0119533010,0.0087529030,0.0579532622,-0.0028184499,0.0156681113,0.4964512555,0.8858825091,0.0004882974,-0.0041829545,-0.8784204497,0.749,1,0.0111630458
1.500248,2.4603788044,2.4451653759,0.0122152577,0.0000000000,0.0152134285,0.0122152577,0.0093867959,0.0616051225,0.0876446462,0.0171498391,0.4964616939,0.8859057340,0.0005573988,-0.0044919503,-0.9433095554,0.814,1,0.0122832888
