label,source,copied_to,exists,bytes,note
essential_step15_csv,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_step15_tailclean_best_single.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_step15_tailclean_best_single.csv,yes,122891,"15deg tuned step, MAE about 0.569 deg"
essential_step40_csv_canonical_copy,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_step_best120_single.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_step40_best_single.csv,yes,150303,"40deg tuned down-step, canonical renamed copy; original source is nussbaum_step_best120_single.csv; MAE about 0.560 deg"
step40_original_source,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_step_best120_single.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_step_best120_single__source_for_step40.csv,yes,150303,Original source used in transcript plotting for 40deg best
bandwidth_15hz_csv,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_sine_15hz_amp10_optuna_v5_trial0_full.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_sine_15hz_amp10_optuna_v5_trial0_full.csv,yes,772081,10deg at 1.5Hz best bounded bandwidth-limit run
bandwidth_3hz_sanity_csv,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_sine_3hz_sanity.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_sine_3hz_sanity.csv,yes,309067,3Hz sanity run
bandwidth_3hz_hard_best_csv,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_sine_3hz_hard_best_single.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_sine_3hz_hard_best_single.csv,yes,386578,3Hz hard best single run if needed
bandwidth_3hz_struct_best_csv,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_sine_3hz_struct_best_single.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_sine_3hz_struct_best_single.csv,yes,388722,3Hz structured best single run if needed
step15_best_json,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_step15_tailclean_best.json,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_step15_tailclean_best.json,yes,6263,Optuna best parameters for 15deg tail-clean step
step15_trials_csv,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_step15_tailclean_trials.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_step15_tailclean_trials.csv,yes,173941,Optuna trial archive for 15deg tail-clean step
step15_settle120_trials_csv,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_step_settle120_trials.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_step_settle120_trials.csv,yes,345828,Earlier settle120 step Optuna trial archive
bandwidth_15hz_trials_csv,/Users/danial/Library/CloudStorage/OneDrive-UniversityofHertfordshire/Nuassbaam/nussbaum_sine_15hz_amp10_optuna_v5_trials.csv,/Users/danial/Ned3 Pro - On Mac/NED3Pro_Thread_Optuna_Consolidated_2026-05-24/07_priority_step_bandwidth_evidence/nussbaum_sine_15hz_amp10_optuna_v5_trials.csv,yes,131102,1.5Hz Optuna trials
