t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000003,2.4236896449,2.4236896449,0.0000028424,-0.1221341328,0.0003849119,0.1221369752,0.0000032076,0.1229045731,14.7485487669,-0.0000000000,0.4965219569,0.8860124621,0.0014954479,-0.0060414373,-0.0001816199,-0.0000000000,0.0000000198,0.0000000000,0.0350197475,-1.2687018347,0.340,1.000000,40.7674416119,0,0.0017641839
0.008630,2.4237712342,2.4221556641,0.0094329287,-0.1286168000,0.0020209124,0.1380497287,0.0000200485,0.1420830296,2.3014147874,0.0028506413,0.4965283473,0.8860295964,0.0020561187,-0.0071197289,-0.0002052825,-0.0000000000,0.0000656558,0.0000000000,0.0350197475,-1.4951430648,0.679,1.000000,40.7674416119,0,0.0041030792
0.016758,2.4239963218,2.4206216833,0.0181481937,-0.1367266474,0.0038055394,0.1548748411,0.0000517614,0.1624836816,2.4480782345,0.0066660495,0.4965371330,0.8860528438,0.0027896837,-0.0083987475,-0.0002303018,-0.0000000000,0.0001263029,0.0000000000,0.0350197475,-1.7637369757,1.019,1.000000,40.7674416119,1,0.0071466735
0.025101,2.4243741453,2.4221556641,0.0267594381,-0.1463123610,0.0026795920,0.1730717990,0.0000740913,0.1784665264,1.9179413825,0.0116290039,0.4965490524,0.8860822068,0.0035235671,-0.0096174522,-0.0002573610,-0.0000000000,0.0001862008,0.0000000000,0.0350197475,-2.0196649629,1.359,1.000000,40.7674416119,0,0.0107851393
0.033420,2.4248943264,2.4206216833,0.0348463918,-0.1550066845,0.0047611545,0.1898530763,0.0001137676,0.1994209095,2.5145259695,0.0176410114,0.4965641059,0.8861208623,0.0046386613,-0.0113079889,-0.0002823150,-0.0000000000,0.0002424183,0.0000000000,0.0350197475,-2.3746776654,1.699,1.000000,40.7674416119,0,0.0153194955
0.041753,2.4255524340,2.4206216833,0.0422875883,-0.1606624965,0.0054370867,0.2029500848,0.0001590766,0.2139049963,1.7380904178,0.0251207007,0.4965839206,0.8861681889,0.0056791858,-0.0128902127,-0.0003017905,-0.0000000000,0.0002941093,0.0000000000,0.0350197475,-2.7069446709,2.038,1.000000,40.7674416119,1,0.0204980486
0.050094,2.4263404331,2.4206216833,0.0489247284,-0.1613323396,0.0062271968,0.2102570680,0.0002109699,0.2228323075,1.0712773418,0.0336637804,0.4966081762,0.8862230832,0.0065873188,-0.0143404417,-0.0003126562,-0.0000000000,0.0003401782,0.0000000000,0.0350197475,-3.0114927507,2.378,1.000000,40.7674416119,1,0.0260575992
0.058427,2.4272468487,2.4206216833,0.0546010591,-0.1574798666,0.0071214712,0.2120809257,0.0002703155,0.2264907118,0.4390085106,0.0428214596,0.4966363048,0.8862837096,0.0072751633,-0.0155730293,-0.0003153683,-0.0000000000,0.0003795463,0.0000000000,0.0350197475,-3.2703361518,2.718,1.000000,40.7674416119,1,0.0317177531
0.066841,2.4282713467,2.4206216833,0.0592295034,-0.1517556277,0.0081279289,0.2109851311,0.0003380483,0.2274605301,0.1163781986,0.0521320821,0.4966673636,0.8863488705,0.0078193159,-0.0166621044,-0.0003137388,-0.0000000000,0.0004116227,0.0000000000,0.0350197475,-3.4990419165,3.058,1.000000,40.7674416119,3,0.0373303092
0.075098,2.4293706397,2.4206216833,0.0625730616,-0.1421036681,0.0091968033,0.2046767297,0.0004146883,0.2233504840,-0.4932055330,0.0613146890,0.4967007374,0.8864155153,0.0079973686,-0.0173502671,-0.0003043581,-0.0000000000,0.0004347799,0.0000000000,0.0350197475,-3.6435561015,3.397,1.000000,40.7674416119,3,0.0426170681
