t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000002,2.4405634335,2.4390294527,0.0000093996,0.0000000000,0.0015339808,0.0000093996,0.0000127832,0.0029654348,0.3558521762,-0.0000000000,0.4963644172,0.8856929776,0.0000012739,-0.0002130657,-0.0000003863,-0.0000000000,0.0000001671,0.0000000000,0.1611595156,-0.0447438037,-0.513,1.000000,61.5638456396,0,0.0000009824
0.008673,2.4409153776,2.4405634335,0.0402175544,0.0000000000,0.0003519440,0.0402175544,0.0000157160,0.0409075361,4.5530521610,0.0000015232,0.4963644227,0.8856949978,0.0002424244,-0.0022271381,-0.0016528643,-0.0000000000,0.0007143944,0.0000000000,0.1611595156,-0.4676989999,-0.964,1.000000,61.5638456396,0,0.0001895131
0.016755,2.4418610128,2.4390294527,0.0748513209,0.0000000000,0.0028315600,0.0748513209,0.0000393124,0.0803223113,4.7297730184,0.0002970815,0.4963654598,0.8857028023,0.0009365419,-0.0044611100,-0.0030762457,-0.0000000000,0.0013264110,0.0000000000,0.1611595156,-0.9368331080,-0.495,1.000000,61.5638456396,0,0.0009210439
0.025090,2.4434128514,2.4390294527,0.1049736912,0.0000000000,0.0043833987,0.1049736912,0.0000758407,0.1134568614,3.9761460130,0.0014546539,0.4963694666,0.8857184982,0.0018835009,-0.0063860899,-0.0043142174,-0.0000000000,0.0018541551,0.0000000000,0.1611595156,-1.3410788692,-0.091,1.000000,61.5638456396,0,0.0023818626
0.034030,2.4456402558,2.4374954720,0.1281433200,0.0000000000,0.0081447839,0.1281433200,0.0001437139,0.1439084544,3.6541911580,0.0037916117,0.4963775244,0.8857441535,0.0030786368,-0.0083629124,-0.0052664447,-0.0000000000,0.0022561031,0.0000000000,0.1611595156,-1.7562115945,0.324,1.000000,61.5638456396,0,0.0047348030
0.041752,2.4479364798,2.4359614912,0.1385300477,-0.0005802873,0.0119765341,0.1391103350,0.0002435183,0.1623218976,2.2096131830,0.0075767188,0.4963906941,0.8857776252,0.0040166096,-0.0098480974,-0.0057171679,-0.0000000000,0.0024349504,0.0000000000,0.1611595156,-2.0681004641,0.636,1.000000,61.5638456396,0,0.0077137674
0.050087,2.4506788229,2.4374954720,0.1380516066,-0.0011465328,0.0131864046,0.1391981394,0.0003534051,0.1648330836,0.3013423191,0.0123320815,0.4964078742,0.8858132173,0.0042710511,-0.0104358762,-0.0057207765,-0.0000000000,0.0024267320,0.0000000000,0.1611595156,-2.1915340108,0.760,1.000000,61.5638456396,1,0.0107318851
0.058420,2.4535524768,2.4359614912,0.1242503306,-0.0016990763,0.0175955109,0.1259494069,0.0005000343,0.1601820587,-0.5581229797,0.0171645900,0.4964261402,0.8858478625,0.0041574166,-0.0106955576,-0.0051762790,-0.0000000000,0.0021888460,0.0000000000,0.1611595156,-2.2460670870,0.814,1.000000,61.5638456396,0,0.0135216822
0.066763,2.4564042026,2.4359614912,0.0964196246,-0.0028185367,0.0204502181,0.0992381613,0.0006704528,0.1391069783,-2.5290096515,0.0215253491,0.4964439179,0.8858746940,0.0032197889,-0.0097859333,-0.0040784981,-0.0000000000,0.0017048247,0.0000000000,0.1611595156,-2.0550459953,0.623,1.000000,61.5638456396,1,0.0155180976
0.075087,2.4590593986,2.4359614912,0.0546325884,-0.0039109084,0.0231083234,0.0585434968,0.0008630222,0.1036915296,-4.2498538441,0.0244918160,0.4964576845,0.8858898684,0.0018209191,-0.0077486043,-0.0024060254,-0.0000000000,0.0009696515,0.0000000000,0.1611595156,-1.6272068997,0.195,1.000000,61.5638456396,0,0.0164736226
0.083425,2.4613640287,2.4359614912,-0.0006787039,-0.0049768469,0.0254157925,0.0042981430,0.0010748204,0.0540701039,-5.9545710855,0.0256504577,0.4964654694,0.8858940227,0.0004985165,-0.0045893892,-0.0001766454,-0.0000000000,-0.0000120678,0.0000000000,0.1611595156,-0.9637717232,-0.318,1.000000,61.5638456396,0,0.0165098498
