t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000002,2.4374954720,2.4374954720,0.0000060895,0.0000000000,0.0000000000,0.0000060895,0.0000000000,0.0000060896,0.0007307483,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,-0.0000002566,-0.0000002389,-0.0000000000,0.0000000426,0.0000000000,0.2200000000,-0.0000538850,0.447,1.000000,80.0000000000,0,0.0000000000
0.008396,2.4377264131,2.4374954720,0.0272763060,0.0000000000,0.0002309411,0.0272763060,0.0000019245,0.0277370263,3.3277124106,0.0000000000,0.4963644172,0.8856936017,0.0000761601,-0.0011720398,-0.0010698706,-0.0000000000,0.0001908730,0.0000000000,0.2200000000,-0.2461283536,0.693,1.000000,80.0000000000,0,0.0000866574
0.016671,2.4383947883,2.4374954720,0.0521586938,0.0000000000,0.0008993164,0.0521586938,0.0000094188,0.0539547009,3.1461209509,0.0001352145,0.4963647431,0.8856960065,0.0002885751,-0.0022901211,-0.0020458435,-0.0000000000,0.0003646711,0.0000000000,0.2200000000,-0.4809254278,0.928,1.000000,80.0000000000,0,0.0004151554
0.025262,2.4395165186,2.4374954720,0.0738631503,0.0000000000,0.0020210466,0.0738631503,0.0000262609,0.0779043695,2.8739602329,0.0006514507,0.4963659777,0.8857010461,0.0006047554,-0.0033373976,-0.0028971671,-0.0000000000,0.0005157883,0.0000000000,0.2200000000,-0.7008534932,1.148,1.000000,80.0000000000,0,0.0010997135
0.033440,2.4409354369,2.4374954720,0.0888718937,0.0000000000,0.0034399650,0.0888718937,0.0000549272,0.0957604302,2.1427272782,0.0017326141,0.4963685650,0.8857087433,0.0009236663,-0.0041678513,-0.0034858617,-0.0000000000,0.0006199186,0.0000000000,0.2200000000,-0.8752487657,1.323,1.000000,80.0000000000,1,0.0021298044
0.041773,2.4426610329,2.4359614912,0.0969808198,0.0000000000,0.0066995417,0.0969808198,0.0001107568,0.1104003977,1.7567961004,0.0033709098,0.4963725166,0.8857191404,0.0012476451,-0.0049335244,-0.0038039216,-0.0000000000,0.0006760275,0.0000000000,0.2200000000,-1.0360401243,1.483,1.000000,80.0000000000,1,0.0034933643
0.050103,2.4445800173,2.4374954720,0.0966268113,0.0000000000,0.0070845454,0.0966268113,0.0001697946,0.1108695514,0.0562984422,0.0055213438,0.4963778541,0.8857298462,0.0012847048,-0.0050782155,-0.0037900362,-0.0000000000,0.0006735804,0.0000000000,0.2200000000,-1.0664252561,1.514,1.000000,80.0000000000,0,0.0048424786
0.058451,2.4465953950,2.4374954720,0.0869206522,0.0000000000,0.0090999230,0.0869206522,0.0002456273,0.1052422656,-0.6752742873,0.0076427833,0.4963833499,0.8857396887,0.0011810986,-0.0049643431,-0.0034093272,-0.0000000000,0.0006064007,0.0000000000,0.2200000000,-1.0425120431,1.490,1.000000,80.0000000000,1,0.0060260007
0.066759,2.4485830370,2.4374954720,0.0675059406,0.0000000000,0.0110875650,0.0675059406,0.0003380237,0.0898676685,-1.8449516530,0.0094746969,0.4963884023,0.8857469888,0.0008760122,-0.0043671105,-0.0026478154,-0.0000000000,0.0004715851,0.0000000000,0.2200000000,-0.9170931989,1.364,1.000000,80.0000000000,1,0.0068408721
0.075091,2.4504434901,2.4374954720,0.0382264472,0.0000000000,0.0129480182,0.0382264472,0.0004459239,0.0643908968,-3.0572126068,0.0106854085,0.4963921495,0.8857507784,0.0004547501,-0.0032382745,-0.0014993729,-0.0000000000,0.0002674135,0.0000000000,0.2200000000,-0.6800376378,1.127,1.000000,80.0000000000,0,0.0071891174
