t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
0.000001,2.4374954720,2.4359614912,0.0000076786,0.0000000000,0.0015339808,0.0000076786,0.0000127832,0.0030795206,0.3695424661,-0.0000000000,0.4963644172,0.8856905603,-0.0002888012,-0.0002373926,-0.0000003860,-0.0000000000,0.0000001263,0.0000000000,0.1873039290,-0.0498524547,-1.397,1.000000,167.6459008032,0,0.0000000394
0.008826,2.4380056312,2.4359614912,0.0572693102,0.0000000000,0.0020441400,0.0572693102,0.0000298177,0.0613754709,6.9955140377,0.0000000024,0.4963631816,0.8856930203,0.0002951921,-0.0037929749,-0.0028788455,-0.0000000000,0.0009408134,0.0000000000,0.1873039290,-0.7965247392,-1.190,1.000000,167.6459008032,0,0.0000162485
0.016761,2.4393133978,2.4359614912,0.1048264313,0.0000000000,0.0033519066,0.1048264313,0.0000577502,0.1115683699,6.0231478786,0.0000010149,0.4963644446,0.8857067195,0.0016439136,-0.0068869253,-0.0052694732,-0.0000000000,0.0017182362,0.0000000000,0.1873039290,-1.4462543051,-0.540,1.000000,167.6459008032,0,0.0000710758
0.025091,2.4414851273,2.4344275104,0.1469699920,-0.0017766467,0.0070653532,0.1487466387,0.0001166282,0.1629526360,6.1661119395,0.0000045723,0.4963714777,0.8857386793,0.0038351656,-0.0101671887,-0.0074772786,-0.0000000000,0.0024016577,0.0000000000,0.1873039290,-2.1351096299,0.149,1.000000,167.6459008032,0,0.0001909833
0.033421,2.4443682379,2.4328935296,0.1776901086,-0.0034216685,0.0114896076,0.1811117771,0.0002123749,0.2042360145,4.9540054201,0.0000125706,0.4963878841,0.8857902566,0.0061892869,-0.0128590925,-0.0091042273,-0.0000000000,0.0028953509,0.0000000000,0.1873039290,-2.7004094251,0.714,1.000000,167.6459008032,0,0.0003824602
0.041757,2.4478196078,2.4313595488,0.1939462101,-0.0067214637,0.0164893269,0.2006676737,0.0003497860,0.2338991937,3.5595814960,0.0000255979,0.4964143570,0.8858586467,0.0082068077,-0.0148903180,-0.0100872740,-0.0000000000,0.0031547711,0.0000000000,0.1873039290,-3.1269667710,1.141,1.000000,167.6459008032,0,0.0006357504
0.050102,2.4516639371,2.4313595488,0.1932551693,-0.0097767897,0.0203469603,0.2030319590,0.0005193440,0.2441251256,1.2271118294,0.0000427488,0.4964494512,0.8859333447,0.0089637603,-0.0156936485,-0.0102061232,-0.0000000000,0.0031437711,0.0000000000,0.1873039290,-3.2956661793,1.310,1.000000,167.6459008032,0,0.0009094394
0.058430,2.4556852454,2.4298255680,0.1739137414,-0.0143824052,0.0259223041,0.1882961466,0.0007353632,0.2407226876,-0.4082925575,0.0000612759,0.4964877716,0.8860058807,0.0087043160,-0.0157436287,-0.0094653752,-0.0000000000,0.0028348967,0.0000000000,0.1873039290,-3.3061620168,1.320,1.000000,167.6459008032,0,0.0011714443
0.067145,2.4598505578,2.4298255680,0.1327311981,-0.0186468084,0.0301061853,0.1513780065,0.0009862480,0.2123976713,-3.3990019512,0.0000778634,0.4965249725,0.8860617636,0.0067059505,-0.0143977152,-0.0076095536,-0.0000000000,0.0021714698,0.0228336188,0.1873039290,-3.0235201864,1.037,1.000000,167.6459008032,0,0.0013651394
0.075088,2.4633902212,2.4298255680,0.0764778918,-0.0225952784,0.0336630419,0.0990731702,0.0012667734,0.1674649887,-5.3919219186,0.0000885309,0.4965536255,0.8860955108,0.0040496627,-0.0120623799,-0.0049802651,-0.0000000000,0.0012554344,0.0781484254,0.1873039290,-2.5330997704,0.547,1.000000,167.6459008032,0,0.0014722253
