t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm,q_ref_base_rad,qdd_ref_rad_s2,disturb_jump_active,disturb_jump_rad,disturb_pulse_active,disturb_pulse_raw,disturb_event_count
0.000002,2.4359614912,2.4359614912,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,0.0000000000,0.0000000000,0.037,0,0.0000000000,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.041912,2.4359614912,2.4344275104,0.0000000000,-0.0092542514,0.0015998208,0.0092542514,0.0000666592,0.0123237582,0.2957701962,-0.0000000000,0.4963644172,0.8856935307,0.0000135293,-0.0005449208,-0.1144333743,0.151,0,0.0000854475,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.083552,2.4359614912,2.4328935296,0.0000000000,-0.0149372673,0.0031742339,0.0149372673,0.0001989189,0.0210865431,0.2103068376,0.0001328242,0.4963647066,0.8856951836,0.0000396687,-0.0009337765,-0.1960930686,0.233,0,0.0003289015,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.125111,2.4359614912,2.4313595488,0.0000000000,-0.0184271952,0.0047330440,0.0184271952,0.0003961291,0.0276843772,0.1583480196,0.0005128389,0.4963655552,0.8856980447,0.0000686676,-0.0013605466,-0.2857147881,0.323,0,0.0007336392,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.166790,2.4359614912,2.4298255680,0.0000000000,-0.0205703525,0.0062822724,0.0205703525,0.0006578905,0.0329745551,0.1269642683,0.0011470098,0.4963670241,0.8857021326,0.0000981078,-0.0021278949,-0.4468579329,0.484,0,0.0012856275,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.208436,2.4359614912,2.4282915872,0.0000000000,-0.0218864607,0.0078256168,0.0218864607,0.0009839578,0.0374835393,0.1082156211,0.0020149506,0.4963691228,0.8857074656,0.0001279925,-0.0031657369,-0.6648047484,0.702,0,0.0019706725,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.250109,2.4359614912,2.4267576064,0.0000000000,-0.0134404286,0.0092995076,0.0134404286,0.0013714373,0.0321540536,-0.1279076557,0.0030880802,0.4963718607,0.8857114361,0.0000952930,-0.0028827205,-0.6053713134,0.642,0,0.0023830655,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.291779,2.4359614912,2.4282915872,0.0000000000,-0.0082537383,0.0077286258,0.0082537383,0.0016934634,0.0242964026,-0.1885836241,0.0037208338,0.4963738990,0.8857137187,0.0000547829,-0.0016538581,-0.3473102080,0.384,0,0.0025048720,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.333451,2.4359614912,2.4267576064,0.0000000000,-0.0050686030,0.0092399457,0.0050686030,0.0020784611,0.0242960496,-0.0000084719,0.0039158117,0.4963750709,0.8857160061,0.0000548964,-0.0016461822,-0.3456982708,0.383,0,0.0026161905,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.375119,2.4359614912,2.4252236256,0.0000000000,-0.0123668696,0.0108258505,0.0123668696,0.0025295382,0.0349779481,0.2563655625,0.0041065046,0.4963762451,0.8857207566,0.0001140120,-0.0033697820,-0.7076542242,0.745,0,0.0030799667,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
