t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm,q_ref_base_rad,qdd_ref_rad_s2,disturb_jump_active,disturb_jump_rad,disturb_pulse_active,disturb_pulse_raw,disturb_event_count
0.000002,2.4359614912,2.4359614912,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.4963644172,0.8856929670,0.0000000000,0.0000000000,0.0000000000,0.447,0,0.0000000000,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.041785,2.4359614912,2.4328935296,0.0000000000,-0.0090484982,0.0031405780,0.0090484982,0.0001308574,0.0154171560,0.3700117431,-0.0000000000,0.4963644172,0.8856939474,0.0000235297,-0.0007575520,-0.1590859142,0.606,0,0.0001340039,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.083454,2.4359614912,2.4298255680,0.0000000000,-0.0163898965,0.0062674560,0.0163898965,0.0003920014,0.0292285594,0.3314736817,0.0002092594,0.4963649206,0.8856974787,0.0000847499,-0.0014392396,-0.3022403088,0.750,0,0.0006066769,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.125108,2.4359614912,2.4282915872,0.0000000000,-0.0223462585,0.0078492381,0.0223462585,0.0007190530,0.0386502507,0.2261205911,0.0009508659,0.4963667335,0.8857036995,0.0001493014,-0.0019174062,-0.4026553124,0.850,0,0.0014030188,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.166784,2.4359614912,2.4282915872,0.0000000000,-0.0226546374,0.0078517129,0.0226546374,0.0010462077,0.0392863792,0.0152670858,0.0021990777,0.4963699273,0.8857102072,0.0001561829,-0.0019733174,-0.4143966625,0.862,1,0.0021564280,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.208463,2.4359614912,2.4282915872,0.0000000000,-0.0183805882,0.0078174126,0.0183805882,0.0013719332,0.0352656066,-0.0964985443,0.0033759134,0.4963732681,0.8857155119,0.0001273133,-0.0017919702,-0.3763137367,0.824,1,0.0026709560,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.250118,2.4359614912,2.4282915872,0.0000000000,-0.0149128858,0.0077895835,0.0149128858,0.0016964992,0.0320628931,-0.0768651242,0.0041772645,0.4963759914,0.8857199312,0.0001060627,-0.0016419916,-0.3448182398,0.792,1,0.0030162734,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.291763,2.4359614912,2.4282915872,0.0000000000,-0.0120994041,0.0077670046,0.0120994041,0.0020201244,0.0295239028,-0.0609357670,0.0047134600,0.4963782601,0.8857236977,0.0000903975,-0.0015198308,-0.3191644606,0.766,1,0.0032414743,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.333443,2.4359614912,2.4282915872,0.0000000000,-0.0098167170,0.0077486855,0.0098167170,0.0023429863,0.0275234169,-0.0480116603,0.0050619429,0.4963801936,0.8857269821,0.0000788261,-0.0014216163,-0.2985394275,0.746,1,0.0033814662,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.375127,2.4359614912,2.4282915872,0.0000000000,-0.0079646842,0.0077338225,0.0079646842,0.0026652289,0.0259598407,-0.0375258300,0.0052775910,0.4963818797,0.8857299101,0.0000702698,-0.0013436392,-0.2821642309,0.729,0,0.0034612879,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.416769,2.4359614912,2.4282915872,0.0000000000,-0.0064620579,0.0077217635,0.0064620579,0.0029869690,0.0247507462,-0.0290182681,0.0053996513,0.4963833827,0.8857325747,0.0000639513,-0.0012825619,-0.2693380035,0.717,0,0.0034990478,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
0.458445,2.4359614912,2.4282915872,0.0000000000,-0.0052429189,0.0077119796,0.0052429189,0.0033083015,0.0238292565,-0.0221157524,0.0054564332,0.4963847505,0.8857350460,0.0000593103,-0.0012354862,-0.2594520981,0.707,1,0.0035079371,2.4359614912,0.0000000000,0,0.0000000000,0,0.000,0
