parameter,value
gamma_link,1.1824623105
k_delta,0.1336345470
zeta0,0.8856929670
zeta_leak,0.0237735451
zeta_soft,0.9891853160
tail_kd,0.0606430796
fric_coulomb,0.0089323247
fric_vel_scale,1.2725305725
alpha,7.1072835468
gamma_adapt,8.7187500403
sigma_mod,0.2460708825
rbf_nodes,11
rbf_width,1.4631904539
rbf_center_min,-3.2
rbf_center_max,3.2
max_control,0.0632
current_bias_raw,-0.1296542137
command_sign,-1
max_current_raw,39
max_current_slew,10.1211443054
predict_horizon_sec,0.0056165844
qd_lpf_alpha,0.1383932134
integral_limit,1.6504936083
q_abs_guard_deg,35
